Año,Bocas del Toro,Coclé,Colón,Chiriquí,Darién,Herrera,Los Santos,Panamá,Panamá Oeste,Veraguas,Comarca Kuna Yala,Comarca Emberá,Comarca Ngäbe Buglé
2015,399,1558,2878,3463,122,845,650,31291,5460,1410,0,0,42
2016,476,1739,3408,4162,194,1078,765,34858,7129,1625,0,0,52
2017,499,1738,3426,4906,237,1141,861,34668,7571,1732,0,0,68
2018,507,1353,3382,4768,226,1001,804,33405,7832,1721,0,0,54
2019,508,1271,3123,4699,197,1053,752,30141,8028,1698,1,0,57
2020,366,933,1925,2857,122,763,528,17063,4506,1112,2,2,42
2021,522,1317,2585,4068,169,968,613,21896,6293,1672,1,0,61
2022,453,1459,2848,3744,165,1011,647,24134,6912,1721,10,0,74
2023,440,1573,2509,4014,175,1007,690,26128,7157,1853,10,0,58
2024,536,1583,2596,4501,186,1123,688,27799,7937,1846,8,0,84
