Distrito y Resto de la República,Hora,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado
Distrito de Panamá,12 p.m.,69,39,26,43,30,48,54
Distrito de Panamá,1 a.m.,41,25,13,14,37,37,28
Distrito de Panamá,2 a.m.,42,31,9,14,8,15,48
Distrito de Panamá,3 a.m.,42,24,18,10,20,20,46
Distrito de Panamá,4 a.m.,62,41,33,42,30,46,52
Distrito de Panamá,5 a.m.,56,92,74,86,88,97,71
Distrito de Panamá,6 a.m.,54,157,142,145,134,128,73
Distrito de Panamá,7 a.m.,62,217,228,225,216,216,92
Distrito de Panamá,8 a.m.,53,170,238,222,195,199,122
Distrito de Panamá,9 a.m.,67,172,202,180,161,158,129
Distrito de Panamá,10 a.m.,71,180,197,215,215,185,162
Distrito de Panamá,11 a.m.,89,193,207,243,206,248,185
Distrito de Panamá,12 m.,109,224,241,206,198,258,207
Distrito de Panamá,1 p.m.,112,217,244,223,229,248,237
Distrito de Panamá,2 p.m.,128,241,210,233,226,276,241
Distrito de Panamá,3 p.m.,116,213,238,224,237,261,194
Distrito de Panamá,4 p.m.,121,266,276,257,249,296,187
Distrito de Panamá,5 p.m.,92,233,263,290,244,303,149
Distrito de Panamá,6 p.m.,89,183,193,195,177,221,152
Distrito de Panamá,7 p.m.,111,173,160,197,168,185,158
Distrito de Panamá,8 p.m.,104,120,107,131,110,116,143
Distrito de Panamá,9 p.m.,69,78,91,78,83,105,111
Distrito de Panamá,10 p.m.,64,62,56,73,75,101,102
Distrito de Panamá,11 p.m.,60,44,39,55,44,96,82
Distrito de Panamá,No especificada,58,77,106,87,91,84,80
Distrito de San Miguelito,12 p.m.,17,8,11,9,9,7,14
Distrito de San Miguelito,1 a.m.,6,4,4,6,2,9,9
Distrito de San Miguelito,2 a.m.,3,2,2,2,4,4,7
Distrito de San Miguelito,3 a.m.,6,4,0,2,4,1,5
Distrito de San Miguelito,4 a.m.,12,9,8,6,4,9,12
Distrito de San Miguelito,5 a.m.,14,15,9,12,14,17,6
Distrito de San Miguelito,6 a.m.,13,31,34,42,32,34,10
Distrito de San Miguelito,7 a.m.,9,29,60,53,40,35,23
Distrito de San Miguelito,8 a.m.,13,27,44,45,29,38,25
Distrito de San Miguelito,9 a.m.,17,34,25,22,30,26,33
Distrito de San Miguelito,10 a.m.,14,35,36,30,23,27,32
Distrito de San Miguelito,11 a.m.,22,40,35,39,37,31,34
Distrito de San Miguelito,12 m.,24,40,36,48,38,39,41
Distrito de San Miguelito,1 p.m.,27,31,39,27,31,32,32
Distrito de San Miguelito,2 p.m.,25,35,37,34,31,40,47
Distrito de San Miguelito,3 p.m.,24,28,29,33,34,43,61
Distrito de San Miguelito,4 p.m.,33,27,24,34,31,36,34
Distrito de San Miguelito,5 p.m.,25,48,41,37,39,35,28
Distrito de San Miguelito,6 p.m.,31,32,31,39,29,27,27
Distrito de San Miguelito,7 p.m.,36,29,30,29,25,28,33
Distrito de San Miguelito,8 p.m.,15,26,17,21,24,27,29
Distrito de San Miguelito,9 p.m.,13,9,20,30,12,19,20
Distrito de San Miguelito,10 p.m.,14,14,15,12,21,24,22
Distrito de San Miguelito,11 p.m.,6,10,10,15,12,14,17
Distrito de San Miguelito,No especificada,8,24,20,15,25,15,20
Distrito de Arraiján,12 p.m.,37,32,23,27,28,29,27
Distrito de Arraiján,1 a.m.,12,10,6,6,5,8,13
Distrito de Arraiján,2 a.m.,9,1,3,6,2,7,9
Distrito de Arraiján,3 a.m.,8,4,6,7,6,4,12
Distrito de Arraiján,4 a.m.,22,23,18,9,13,19,11
Distrito de Arraiján,5 a.m.,18,47,37,48,20,33,9
Distrito de Arraiján,6 a.m.,16,47,51,50,39,35,17
Distrito de Arraiján,7 a.m.,16,36,41,26,44,34,25
Distrito de Arraiján,8 a.m.,15,24,21,26,22,32,20
Distrito de Arraiján,9 a.m.,19,22,20,28,19,24,30
Distrito de Arraiján,10 a.m.,16,27,32,32,25,32,28
Distrito de Arraiján,11 a.m.,13,31,28,32,32,36,22
Distrito de Arraiján,12 m.,13,14,8,8,10,10,18
Distrito de Arraiján,1 p.m.,27,32,35,19,25,27,39
Distrito de Arraiján,2 p.m.,28,26,24,31,33,36,42
Distrito de Arraiján,3 p.m.,23,33,36,28,24,31,42
Distrito de Arraiján,4 p.m.,30,42,27,31,41,45,26
Distrito de Arraiján,5 p.m.,17,28,28,34,31,34,31
Distrito de Arraiján,6 p.m.,22,28,27,27,28,42,18
Distrito de Arraiján,7 p.m.,20,26,42,29,38,39,31
Distrito de Arraiján,8 p.m.,15,26,21,13,22,27,22
Distrito de Arraiján,9 p.m.,12,18,14,15,16,29,22
Distrito de Arraiján,10 p.m.,13,13,21,16,11,22,21
Distrito de Arraiján,11 p.m.,13,7,17,9,17,22,17
Distrito de Arraiján,No especificada,14,20,21,22,18,21,19
Resto de la República,12 p.m.,97,164,131,133,127,158,135
Resto de la República,1 a.m.,70,33,26,23,24,38,41
Resto de la República,2 a.m.,62,34,19,24,29,25,36
Resto de la República,3 a.m.,78,40,14,23,19,29,56
Resto de la República,4 a.m.,78,59,37,35,32,50,53
Resto de la República,5 a.m.,84,64,47,67,42,50,56
Resto de la República,6 a.m.,55,125,96,81,96,100,70
Resto de la República,7 a.m.,70,143,118,131,138,152,116
Resto de la República,8 a.m.,79,107,114,122,103,111,104
Resto de la República,9 a.m.,73,133,119,108,117,119,112
Resto de la República,10 a.m.,95,148,124,156,136,159,142
Resto de la República,11 a.m.,136,146,153,161,131,166,165
Resto de la República,12 m.,64,83,76,60,84,92,65
Resto de la República,1 p.m.,107,188,142,148,130,173,157
Resto de la República,2 p.m.,114,162,131,148,169,216,162
Resto de la República,3 p.m.,154,165,161,151,171,194,153
